Timestamp,Email address,Gender,Work type, Business name , position ,stock record , app user ,simplicity of use, tech savyy,Time spent , Internet access, User interests , App name,app payments ,app features , App usage ,user remarks. 
10/02/2023 11:50:12,,Female,I work in a boutique shop where i sell clothes ,Destine boutique,CEO,Manual register,No,very simple,Yes,4,Yes,"The userbility of the app, as long as i can access it anytime and track my stocks well",not applicable,No,"Custiomer database, stocks in the shop, sells per day, profit made, ",Rarely,I think an app will assist my business do better
10/02/2023 12:11:59,,Female,Teaching,Utange school,Employee,Manual register,No,very simple,Yes,5 minutes,Yes,Not applicable,Not applicable,No,"Reliable,fast",Never,
10/02/2023 12:53:46,,Female,Project Manager- Overseeing projects ,Maziwa Breast-feeding ,Manager,Online register,No,very simple,Yes,3,Yes,"Automated records
Easy to use",N/A,No,Ease of use,Always,
10/02/2023 13:40:28,,Female,Making clothes,Mara Designs,Sole owner,Manual register,No,I haven't used an app,Yes,2,Yes,Not sure,Not applicable,No,Link to view stock balance,Never,
10/02/2023 13:49:56,,Female,"I design clothes for all purpose, class, and age.",Golie Trend ,Sole owner,Manual register,Maybe,"I haven't practically used apps, only costing and pricing calculator ",Yes,Not Applicable ,Yes,Not Applicable ,Not Applicable ,No,Not applicable ,Sometimes,None 
10/02/2023 13:51:56,,Female,Fashion designing ,Favie's place,Sole owner,Manual register,No,Not Applicable ,Yes,1hour,Yes,NA,NA,Yes,NA,Rarely,None
10/02/2023 16:54:27,,Male,Marketing of corporate trainings and human resource development services,Leagile Trainings Ltd,Manager,Manual register,No,I have none,Yes,1,Yes,N/A,N/A,No,Strong data protection,Never,
10/02/2023 17:39:42,,Female,Data Analysis,M & Sousa Construction,Employee,"Hybrid, both manual and excel",No,never used,Yes,I'm not in charge of it,Yes,none,no,No,N/A,Never,
10/02/2023 18:20:53,,Female,I process catfish and panla,ThreeFold Agro Consult,CEO,Use an App,Yes,somehow simple,Yes,20-40 minutes,Yes,The fact that it does the sums for me and I don't have to bother myself,Simple Invoice Manager,No,"Invoice maker
Receipt
Profit and loss
Customer/client list
Inventory
Purchase list",Always,
10/02/2023 19:39:44,,Female,Secondary School teacher,Lagos State Teaching Service Commission,Employee,Manual register,No,somehow simple,Yes,From 30minutes,Yes,Digital skills,Not applicable,No,Teaching digital skills in a simplifi,Rarely,Digital skills
10/02/2023 23:13:40,,Female,insurance ,Insurance supermarket market,Employee,System documentation ,No,N/A,Yes,N/A,Yes,N/A,N/A,Yes,"Restock period
Automated updates of price tag ",Always,
10/02/2023 23:56:16,,Female,Selling children books,The little librarian ,Sole owner,Manual register,No,difficult,Yes,3hrs weekly ,Yes,Not applicable ,Not applicable ,No,Be able to upload my products and get invoices ,Never,
12/02/2023 13:24:40,,Male,Cloud Services,Delights,Sole owner,Online register,Yes,very simple,Yes,1,Yes,Sales funnel,CRM,Yes,Automated reports,Always,
13/02/2023 23:00:42,,Male,Parcel delivery services ,Fro-PICK-To ,Sole owner,Manual register,No,N/A,Yes,0.5 hrs,Yes,The efficiency of handling records ,N/A,No,Prediction of profits,Never,
14/02/2023 00:07:45,,Female,I am a product manager,Babban Gona Farmer services,Employee,"Online register, Use an App",Yes,somehow simple,Yes,30 minutes,Yes,We have a way of checking summary of inventory on the application,Not applicable,No,Summary feature,Sometimes,None for now
